subsystem,WT_LFnC_(F:M),WT_LFnC_(F<M),WT_LFnC_(F>M),WT_HFnC_(F:M),WT_HFnC_(F<M),WT_HFnC_(F>M),WT_HFC_(F:M),WT_HFC_(F<M),WT_HFC_(F>M),WT_(F:M),WT_(F<M),WT_(F>M),KO_LFnC_(F:M),KO_LFnC_(F<M),KO_LFnC_(F>M),KO_HFnC_(F:M),KO_HFnC_(F<M),KO_HFnC_(F>M),KO_HFC_(F:M),KO_HFC_(F<M),KO_HFC_(F>M),KO_(F:M),KO_(F<M),KO_(F>M),LFnC_(F:M),LFnC_(F<M),LFnC_(F>M),HFnC_(F:M),HFnC_(F<M),HFnC_(F>M),HFC_(F:M),HFC_(F<M),HFC_(F>M),(F:M),(F<M),(F>M)
Pyrimidine synthesis,1.0,1.0,1.0,1.0,0.07764884794035865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15498530326808968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heme degradation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Pyrimidine catabolism,1.0,1.0,0.0020375708547235583,1.0,0.009602092894530179,0.20973213242332156,1.0,1.0,0.17213876088068392,0.23684422624309776,1.0,0.09522307670238961,1.0,1.0,1.0,1.0,1.0,0.15270303788827289,1.0,1.0,0.0021262076115483586,0.29117445835416245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10217516033161855,1.0,1.0,0.1328289666290542,0.00028531228659567365,1.0,1.0
ROS detoxification,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O-glycan metabolism,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chondroitin sulfate degradation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Vitamin C metabolism,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fatty acid synthesis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20274684214006733,1.0,1.0,0.10172297723360835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Exchange/demand reaction,1.0,0.40195468673859236,0.00542762079356518,1.0,0.027565000647164162,0.4216027736940303,1.0,0.015909300205434795,0.05272984495548705,0.018946017422170836,0.8853745792689081,0.12074777508080692,1.0,0.00288066681790089,0.01597642869442184,1.0,0.018695313002924707,0.10790603639490981,1.0,0.034792073876356855,0.030572836806881054,0.002404557538499219,0.005351181104293445,0.4597457460000888,1.0,0.0003160242116814205,0.06152279066151911,1.0,0.0012095838480847831,0.7382836428753358,1.0,0.03810365864086862,0.04860361217984255,2.8046305472484434e-05,0.05752244713380328,0.008440736704048102
N-glycan synthesis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09705832543173365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
