rxn,p(gender),p(genotype),p(diet),"p(gender,genotype)","p(gender,diet)","p(genotype,diet)","p(gender,genotype,diet)"
56DTHMtd_f,0.7267605003936308,0.2994022088626377,0.21783959514058604,0.7267605003936308,0.429742296189018,0.34117971936370656,0.429742296189018
56DURAtd_b,0.32728688127978633,0.32728688127978495,0.3826967066770931,0.32728688127978633,0.3826967066770881,0.3826967066770909,0.3826967066770892
56DURAtd_f,0.32728688127978633,0.32728688127978495,0.3826967066770931,0.32728688127978633,0.3826967066770881,0.3826967066770909,0.3826967066770892
5ADTSTSTERONESte_b,0.32728688127978633,0.32728688127978495,0.3826967066770931,0.32728688127978633,0.3826967066770881,0.3826967066770909,0.3826967066770892
5ADTSTSTERONESte_f,0.32728688127978633,0.32728688127978495,0.3826967066770931,0.32728688127978633,0.3826967066770881,0.3826967066770909,0.3826967066770892
5ADTSTSTERONEte_b,0.32728688127978633,0.32728688127978495,0.3826967066770931,0.32728688127978633,0.3826967066770881,0.3826967066770909,0.3826967066770892
5ADTSTSTERONEte_f,0.32728688127978633,0.32728688127978495,0.3826967066770931,0.32728688127978633,0.3826967066770881,0.3826967066770909,0.3826967066770892
5AOPt_b,0.3522373897969834,0.3522373897969834,0.5064426832333617,0.7545635621678967,0.7435558850453088,0.7435558850453077,0.5064426832333617
5AOPt_f,0.3522373897969834,0.3522373897969834,0.5064426832333617,0.7545635621678967,0.7435558850453088,0.7435558850453077,0.5064426832333617
5AOPt2,0.3522373897969834,0.3522373897969834,0.5064426832333617,0.7545635621678967,0.7435558850453088,0.7435558850453077,0.5064426832333617
5CYSDOPAt_b,0.009293697430393877,1.0,0.15726733391116626,1.0,0.15726733391116576,0.00770734662925898,0.007707346629258888
