rxn,WT_LFnC_(F:M),WT_LFnC_(F<M),WT_LFnC_(F>M),WT_HFnC_(F:M),WT_HFnC_(F<M),WT_HFnC_(F>M),WT_HFC_(F:M),WT_HFC_(F<M),WT_HFC_(F>M),WT_(F:M),WT_(F<M),WT_(F>M),KO_LFnC_(F:M),KO_LFnC_(F<M),KO_LFnC_(F>M),KO_HFnC_(F:M),KO_HFnC_(F<M),KO_HFnC_(F>M),KO_HFC_(F:M),KO_HFC_(F<M),KO_HFC_(F>M),KO_(F:M),KO_(F<M),KO_(F>M),LFnC_(F:M),LFnC_(F<M),LFnC_(F>M),HFnC_(F:M),HFnC_(F<M),HFnC_(F>M),HFC_(F:M),HFC_(F<M),HFC_(F>M),(F:M),(F<M),(F>M)
EX_xmp_e,0.25249253754692297,0.3333333333333332,1.0,0.09381616499744216,1.0,0.3333333333333332,0.30962837708843105,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.30962837708843105,0.552786404500042,0.552786404500042,0.30962837708843105,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.19194949875651607,0.552786404500042,0.552786404500042,0.14121267378400587,0.552786404500042,0.552786404500042,0.3201867697265244,0.552786404500042,0.552786404500042,0.3201867697265244,0.552786404500042,0.552786404500042,0.26009110640136046,0.552786404500042,0.552786404500042
EX_xol25oh_e,0.25249253754692297,1.0,0.3333333333333332,0.25249253754692297,0.3333333333333332,1.0,0.25249253754692297,0.3333333333333332,1.0,0.292414962828643,0.552786404500042,0.552786404500042,0.25249253754692297,1.0,0.3333333333333332,0.25249253754692297,0.3333333333333332,1.0,0.25249253754692297,0.3333333333333332,1.0,0.292414962828643,0.552786404500042,0.552786404500042,0.08697250839995457,1.0,0.3333333333333332,0.08697250839995457,0.3333333333333332,1.0,0.08697250839995457,0.3333333333333332,1.0,0.19560656899190465,0.552786404500042,0.552786404500042
EX_xol27oh_e,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.33809656286448625,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.292414962828643,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.08697250839995457,0.3333333333333332,1.0,1.0,1.0,1.0,0.23779416612774207,0.552786404500042,0.552786404500042
EX_xtsn_e,1.0,1.0,1.0,0.09381616499744216,1.0,0.3333333333333332,1.0,1.0,1.0,0.14900111348023354,0.552786404500042,0.552786404500042,0.30962837708843105,0.552786404500042,0.552786404500042,0.30962837708843105,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.19194949875651607,0.552786404500042,0.552786404500042,0.2973962611250344,0.552786404500042,0.552786404500042,0.3201867697265244,0.552786404500042,0.552786404500042,1.0,1.0,1.0,1.0,1.0,1.0
FA40COAtm,0.30962837708843105,0.552786404500042,0.552786404500042,0.25249253754692297,1.0,0.3333333333333332,0.30962837708843105,0.552786404500042,0.552786404500042,0.33809656286448625,0.552786404500042,0.552786404500042,0.30962837708843105,0.552786404500042,0.552786404500042,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.17935262239067423,0.552786404500042,0.552786404500042,1.0,1.0,1.0,1.0,1.0,1.0,0.3201867697265244,0.552786404500042,0.552786404500042,0.3732990819775457,0.552786404500042,0.552786404500042
FACOAE160,1.0,1.0,1.0,0.30962837708843105,0.552786404500042,0.552786404500042,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,0.25249253754692297,0.3333333333333332,1.0,0.14900111348023354,0.552786404500042,0.552786404500042,1.0,1.0,1.0,1.0,1.0,1.0,0.08697250839995457,0.3333333333333332,1.0,0.22106268495474646,0.552786404500042,0.552786404500042
FACOAE60,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.292414962828643,0.552786404500042,0.552786404500042,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,0.08697250839995457,1.0,0.3333333333333332,0.32679104800799086,0.552786404500042,0.552786404500042
FADRx,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18703139874544122,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17247128941430817,0.3333333333333332,1.0
FALDtly,0.25249253754692297,1.0,0.3333333333333332,0.25249253754692297,0.3333333333333332,1.0,0.25249253754692297,0.3333333333333332,1.0,0.292414962828643,0.552786404500042,0.552786404500042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20232838096364303,1.0,0.3333333333333332,0.20232838096364303,0.3333333333333332,1.0,0.2973962611250344,0.552786404500042,0.552786404500042,0.32679104800799086,0.552786404500042,0.552786404500042
FE3R2e_1,0.30962837708843105,0.552786404500042,0.552786404500042,0.30962837708843105,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.19194949875651607,0.552786404500042,0.552786404500042,0.25249253754692297,0.3333333333333332,1.0,0.09381616499744216,0.3333333333333332,1.0,0.09381616499744216,0.3333333333333332,1.0,0.006205837944430132,0.3333333333333332,1.0,0.14121267378400587,0.552786404500042,0.552786404500042,0.056097912042340055,0.552786404500042,0.552786404500042,0.15543143512944874,0.552786404500042,0.552786404500042,0.01031153440664684,0.552786404500042,0.552786404500042
