rxn,WT_LFnC_(F:M),WT_LFnC_(F<M),WT_LFnC_(F>M),WT_HFnC_(F:M),WT_HFnC_(F<M),WT_HFnC_(F>M),WT_HFC_(F:M),WT_HFC_(F<M),WT_HFC_(F>M),WT_(F:M),WT_(F<M),WT_(F>M),KO_LFnC_(F:M),KO_LFnC_(F<M),KO_LFnC_(F>M),KO_HFnC_(F:M),KO_HFnC_(F<M),KO_HFnC_(F>M),KO_HFC_(F:M),KO_HFC_(F<M),KO_HFC_(F>M),KO_(F:M),KO_(F<M),KO_(F>M),LFnC_(F:M),LFnC_(F<M),LFnC_(F>M),HFnC_(F:M),HFnC_(F<M),HFnC_(F>M),HFC_(F:M),HFC_(F<M),HFC_(F>M),(F:M),(F<M),(F>M)
2HATVLACGLUCteb,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
2HATVLACOXDhc,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
2HATVLACteb,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
2HATVLACthc,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
2HBO,0.2946340052124848,0.47400311143863083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.222824469263682,0.45759228519484607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2547920377199325,0.4618637306526247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20207170500292046,0.4539324080608482,1.0
2HIBUP_Ritr,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
2HIBUP_Rthv,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
2HIBUP_SGLUhep,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
2HIBUPGLUC_Sitr,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
2HIBUPGLUC_Sthv,0.12599344242474478,0.07943111967528746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11919208700883162,0.08495063985861455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12491724816360747,0.08755449088876367,0.9995726347891994,1.0,1.0,1.0,1.0,1.0,1.0,0.11447991263949309,0.08519426085046605,0.971811938608152
