rxn,F_LFnC_(WT:KO),F_LFnC_(WT<KO),F_LFnC_(WT>KO),F_HFnC_(WT:KO),F_HFnC_(WT<KO),F_HFnC_(WT>KO),F_HFC_(WT:KO),F_HFC_(WT<KO),F_HFC_(WT>KO),F_(WT:KO),F_(WT<KO),F_(WT>KO),M_LFnC_(WT:KO),M_LFnC_(WT<KO),M_LFnC_(WT>KO),M_HFnC_(WT:KO),M_HFnC_(WT<KO),M_HFnC_(WT>KO),M_HFC_(WT:KO),M_HFC_(WT<KO),M_HFC_(WT>KO),M_(WT:KO),M_(WT<KO),M_(WT>KO),LFnC_(WT:KO),LFnC_(WT<KO),LFnC_(WT>KO),HFnC_(WT:KO),HFnC_(WT<KO),HFnC_(WT>KO),HFC_(WT:KO),HFC_(WT<KO),HFC_(WT>KO),(WT:KO),(WT<KO),(WT>KO)
CRTNtr,0.25249253754692297,0.3333333333333332,1.0,0.25249253754692297,0.3333333333333332,1.0,0.30962837708843105,0.552786404500042,0.552786404500042,0.06978398330340044,0.552786404500042,0.552786404500042,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,0.324703854278672,0.552786404500042,0.552786404500042,0.2973962611250344,0.552786404500042,0.552786404500042,0.2973962611250344,0.552786404500042,0.552786404500042,0.14121267378400587,0.552786404500042,0.552786404500042,0.07391829462783328,0.552786404500042,0.552786404500042
CRTSLt,0.406831857883396,0.41953112817892124,0.41953112817892124,0.5,0.367544467966324,0.7891814893221081,0.25249253754692297,0.3333333333333332,1.0,0.25493937081297335,0.33750185654036463,0.33750185654036463,0.406831857883396,0.7335793204938506,0.15461852312844906,0.25249253754692297,1.0,0.3333333333333332,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.5,0.33750185654036463,0.33750185654036463,0.2207091633910268,0.367544467966324,0.7891814893221081,0.08697250839995457,0.3333333333333332,1.0,0.3083042669338638,0.33750185654036463,0.33750185654036463
CRTSLtr,0.406831857883396,0.41953112817892124,0.41953112817892124,0.5,0.367544467966324,0.7891814893221081,0.25249253754692297,0.3333333333333332,1.0,0.25493937081297335,0.33750185654036463,0.33750185654036463,0.406831857883396,0.7335793204938506,0.15461852312844906,0.25249253754692297,1.0,0.3333333333333332,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.5,0.33750185654036463,0.33750185654036463,0.2207091633910268,0.367544467966324,0.7891814893221081,0.08697250839995457,0.3333333333333332,1.0,0.3083042669338638,0.33750185654036463,0.33750185654036463
CRTSTRNt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18703139874544122,0.3333333333333332,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17247128941430817,0.3333333333333332,1.0
CYSATB0tc,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18703139874544122,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17247128941430817,0.3333333333333332,1.0
CYSB0AT3tc,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.18703139874544122,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.18703139874544122,1.0,0.3333333333333332,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,0.20232838096364303,1.0,0.3333333333333332,1.0,1.0,1.0
CYSGLTH,0.09835280122947343,0.051316701949486114,0.894590744661054,0.31867594411696853,0.6666666666666667,0.6666666666666667,0.05784401114975469,1.0,0.004818230468198537,0.1359843813627733,0.19747302644349035,0.19747302644349035,0.09381616499744216,0.3333333333333332,1.0,0.1508497912391739,0.051316701949486114,1.0,0.25249253754692297,1.0,0.3333333333333332,0.09750441994461045,0.15461852312844906,0.7335793204938506,0.03479418461479865,0.004818230468198537,1.0,0.39327193761714846,0.15461852312844906,0.7335793204938506,0.019582975804513347,1.0,0.004818230468198537,0.4927757399193613,0.19747302644349035,0.19747302644349035
CYSGLYPTASEe_1,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.324703854278672,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.09381616499744216,1.0,0.3333333333333332,0.08732603600401534,0.552786404500042,0.552786404500042,0.3201867697265244,0.552786404500042,0.552786404500042,0.2973962611250344,0.552786404500042,0.552786404500042,0.14121267378400587,0.552786404500042,0.552786404500042,0.24893354246499977,0.552786404500042,0.552786404500042
CYSSNAT5tc,0.25249253754692297,1.0,0.3333333333333332,0.1508497912391739,0.051316701949486114,1.0,0.25249253754692297,1.0,0.3333333333333332,0.5,0.15461852312844906,0.7335793204938506,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,1.0,1.0,1.0,0.18703139874544122,1.0,0.3333333333333332,0.20232838096364303,1.0,0.3333333333333332,0.33664498982999785,0.15461852312844906,0.7335793204938506,0.20232838096364303,1.0,0.3333333333333332,0.31762814799862416,0.15461852312844906,0.7335793204938506
CYSTALArBATtc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
